$k$ (B/s),PoRs TPS2,PoRTs TPS2,HOPoRs TPS2,HOPoRTs TPS2,OP TPS2,OPT TPS2,HO TPS2,HOT TPS2
15500,60830547.14285715,85918083.81818181,85128697.00000001,123272275.00000001,118746014.03061226,192348915.2892562,311708286.8303572,793439275.5681818
15600,61975133.25714287,87534702.98181817,86730678.17142859,125518380.00000001,121059183.67346941,196095867.76859504,317780357.1428572,808895454.5454546
15700,63133979.37142858,89171501.23636363,88352625.46190478,127783085.00000001,123402200.25510205,199891167.35537186,323930775.66964287,824551065.340909
15800,64307173.714285724,90828513.91515152,89994688.06666669,130066390.00000001,125775255.10204083,203735123.96694213,330160044.6428572,840407386.3636364
15900,65494804.51428572,92505997.63636363,91656954.50000001,132368295.00000001,128178539.54081635,207628047.52066115,336468666.29464287,856465696.0227271
16000,66696969.14285716,94202847.03030302,93339548.1904762,134688800.00000003,130612244.8979592,211570247.93388426,342857142.85714287,872727272.7272726
16100,67913771.33333334,95914223.9151515,95042592.56666668,137027905.00000003,133076562.50000001,215562035.1239669,349325976.5625,889193394.8863636
16200,69145275.0857143,97639546.25454542,96766251.94285715,139385610.00000003,135571683.6734694,219603719.00826445,355875669.6428572,905865340.9090909
16300,70391568.62857145,99378814.04848482,98510614.80000001,141761915.00000003,138097799.744898,223695609.5041322,362506724.3303572,922744389.2045453
16400,71652740.1904762,101132027.29696968,100275799.2,144156820.00000003,140655102.04081634,227838016.5289256,369219642.85714287,939831818.1818181
16500,72928878,102899185.99999999,102061928.57142857,146570325.00000003,143243781.88775513,232031250,376014927.4553572,957128906.2499999
16600,74220070.2857143,104680290.15757573,103869152.42857143,149002430.00000003,145864030.61224487,236275619.8347107,382893080.35714287,974636931.8181818
16700,75526405.27619049,106475339.76969695,105697589.90000002,151453135.00000003,148516039.54081634,240571435.95041314,389854603.79464287,992357173.2954545
16800,76847971.20000002,108284334.83636361,107547343.2,153922440.00000003,151200000,244919008.26446277,396900000,1010290909.090909
16900,78184891.6952381,110107275.35757573,109418535.75714287,156410345.00000003,153916103.31632656,249318646.69421488,404029771.2053572,1028439417.6136364
17000,79537220,111944161.33333331,111308197.00000001,158916850.00000003,156664540.81632653,253770661.15702477,411244419.6428572,1046803977.2727271
17100,80905044.34285717,113794992.76363635,113212472.52857144,161441955,159445503.82653064,258275361.5702479,418544447.54464287,1065385866.4772726
17200,82288452.95238096,115659769.64848483,115131362.34285717,163985660,162259183.67346942,262833057.85123965,425930357.1428572,1084186363.6363637
17300,83687534.05714287,117538491.98787877,117064866.44285715,166547965,165105771.68367353,267444059.91735536,433402650.66964287,1103206747.1590908
17400,85102375.88571429,119431159.78181815,119012984.82857142,169128870,167985459.1836735,272108677.6859504,440961830.35714287,1122448295.4545455
17500,86533066.66666667,121337773.03030302,120975717.50000001,171728375,170898437.5,276827221.0743801,448608398.4375,1141912286.931818
17600,87979694.62857142,123258331.73333332,122953064.45714287,174346480,173844897.95918366,281599999.99999994,456342857.1428572,1161599999.9999998
17700,89442374.97142859,125192835.89090906,124945025.70000002,176983185,176825031.8877551,286427324.3801652,464165708.7053572,1181512713.068182
